ts,Source Port,Destination Port,flow_duration,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,urg_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,urg_count,rst_count,max_duration,min_duration,sum_duration,average_duration,std_duration,CoAP,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,MAC,Magnitue,Radius,Covariance,Variance,Weight,DS status,Fragments,Sequence number,Protocol Version,flow_idle_time,flow_active_time
1723818585.3133578,0.0,0.0,0.0,0.0,6.0,64.0,14266.34013605442,14266.34013605442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.3132882,1723818585.3132882,1723818585.3132882,1723818585.3132882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,5.984306335449219e-06,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.313418,8.0,2214.1,1.559257507324219e-05,156.8,6.0,64.0,14122.367896149284,14122.367896149284,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1723818585.3133037,1723818585.3132882,1896200443.8446324,1723818585.3132958,7.796287536621094e-06,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23321.0,1368.0,1514.0,1506.7,31.819962287846916,1368.0,172381858.5313499,13.5,546328.0,55.02726596879042,0.0,0.0,0.0,244.6,0.0,0.0,0.0,0.0,1.559257507324219e-05,1.559257507324219e-05
1723818585.3134956,2214.2,8.0,0.0,151.4,6.0,64.0,12826.61773700306,12826.61773700306,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1723818585.3134818,1723818585.313419,2413346019.438797,1723818585.3134506,3.118515014648438e-05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7366.6,553.6,1514.0,1363.6788888888889,343.0831978967687,1376.8,6.508827209472656e-06,5.5,546328.0,52.1786489445888,485.1929114879428,170728.14413580246,0.7,38.5,0.0,0.0,0.0,0.0,172381858.5313507,0.0
1723818585.3135536,0.0,0.0,0.0,0.0,6.0,64.0,12826.61773700306,12826.61773700306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.313507,1723818585.313507,1723818585.313507,1723818585.313507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22095.0,142.0,1514.0,1422.2445634843311,340.9387854006547,1514.0,172381858.53136367,13.5,546328.0,53.3259937268749,483.1986899817226,117599.56601236598,1.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.3136115,0.0,0.0,0.0,0.0,6.0,64.0,12826.61773700306,12826.61773700306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.313507,1723818585.313507,1723818585.313507,1723818585.313507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,5.91278076171875e-06,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.3136797,2222.3,2222.2,1.3303756713867189e-05,308.2,6.0,64.0,15033.347670250896,15033.347670250896,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.1,1723818585.313668,1723818585.3136015,2585727877.970422,1723818585.3136349,3.325939178466797e-05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21183.8,54.0,1514.0,1368.8638453806257,430.0007026959353,1230.8,172381858.5313762,13.5,546328.0,52.30660679982223,609.4939418070941,186793.38405109063,1.0,244.6,0.0,0.0,0.0,0.0,172381858.5313829,1.3303756713867189e-05
1723818585.3137417,0.0,0.0,0.0,0.0,6.0,64.0,15033.347670250896,15033.347670250896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.313696,1723818585.313696,1723818585.313696,1723818585.313696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,6.079673767089844e-06,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.3138013,8.0,2214.3,1.2612342834472656e-05,156.8,6.0,64.0,15115.761107384596,15115.761107384596,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1723818585.3137083,1723818585.313696,1896200443.8450785,1723818585.3137023,6.306182684644934e-06,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23321.0,1368.0,1514.0,1506.7,31.819962287846916,1368.0,172381858.5313878,13.5,546328.0,55.02726596879042,0.0,0.0,0.0,244.6,0.0,0.0,0.0,0.0,1.2612342834472656e-05,1.2612342834472656e-05
1723818585.313874,2214.4,8.0,0.0,151.4,6.0,64.0,15857.482041587902,15857.482041587902,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1723818585.3138504,1723818585.3137748,2758109736.502068,1723818585.3138127,3.7837096107869605e-05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7641.0,828.0,1514.0,1425.418888888889,228.79385519715623,1376.8,7.200241088867187e-06,5.5,546328.0,53.36552413024136,323.56337300744445,105315.30013580248,0.5,38.5,0.0,0.0,0.0,0.0,172381858.5313893,0.0
1723818585.3139377,0.0,0.0,0.0,0.0,6.0,64.0,15857.482041587902,15857.482041587902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.313893,1723818585.313893,1723818585.313893,1723818585.313893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22095.0,142.0,1514.0,1422.2445634843311,340.9387854006547,1514.0,172381858.53140152,13.5,546328.0,53.3259937268749,483.1986899817226,117599.56601236598,1.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.314003,0.0,0.0,0.0,0.0,6.0,64.0,15857.482041587902,15857.482041587902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.313893,1723818585.313893,1723818585.313893,1723818585.313893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,8.20159912109375e-06,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.3140602,2222.5,2222.4,1.5187263488769532e-05,308.2,6.0,64.0,14244.350430449918,14244.350430449918,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.1,1723818585.313994,1723818585.3139484,2240964160.9081616,1723818585.313971,2.278092330439828e-05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22042.2,638.0,1514.0,1433.684246646027,247.91370252726824,1230.8,172381858.5314141,13.5,546328.0,53.517950203867,351.984036636733,104223.29830838954,0.6,244.6,0.0,0.0,0.0,0.0,172381858.53142288,1.5187263488769532e-05
1723818585.3141215,0.0,0.0,0.0,0.0,6.0,64.0,13168.92935635793,13168.92935635793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.314077,1723818585.314077,1723818585.314077,1723818585.314077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8327.0,1514.0,1514.0,1514.0,0.0,1514.0,5.793571472167969e-06,5.5,546328.0,55.02726596879042,0.0,0.0,0.0,38.5,0.0,0.0,0.0,0.0,0.0,0.0
1723818585.314181,0.0,0.0,0.0,0.0,6.0,64.0,13168.92935635793,13168.92935635793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723818585.314077,1723818585.314077,1723818585.314077,1723818585.314077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23467.0,1514.0,1514.0,1514.0,0.0,1514.0,172381858.53142512,13.5,546328.0,55.02726596879042,0.0,0.0,0.0,244.6,0.0,0.0,0.0,0.0,0.0,0.0
